"","Estimate","Std. Error","t value","Pr(>|t|)","RAIpoisson"
"SpeciesBas_ast",-6.1490023413242,1.47129870372092,-4.17930249362236,3.71007787705977e-05,0.16
"SpeciesCan_fam",-5.74353723321603,1.20131032757459,-4.78106039828363,2.58639667718284e-06,0.16
"SpeciesCan_lat",-5.33807212510787,0.980865802480613,-5.44220433784914,1.00010276519411e-07,0.21
"SpeciesCap_aeg",-3.60347106971976,0.412046054495326,-8.74531142916365,9.94346061446177e-17,0.27
"SpeciesCon_leu",-4.00893617782793,0.50465129202029,-7.94397288032058,2.79767470125471e-14,0.32
"SpeciesFel_cat",-4.70208335818319,0.713677481554187,-6.58852700234199,1.66183658317185e-10,0.37
"SpeciesLin_ruf",-4.27720016442261,0.577090830815134,-7.41165850509375,9.71210630914858e-13,0.48
"SpeciesMep_mac",-5.92585879000999,1.31596956669092,-4.50303634673778,9.17750558259131e-06,0.91
"SpeciesNas_nar",-6.43668441377598,1.69890940530324,-3.78871550989329,0.000178632085914952,1.12
"SpeciesOdo_vir",-2.57946964484283,0.246937288929736,-10.4458490494597,2.24410616069325e-22,1.39
"SpeciesPec_taj",-4.49077426472066,0.642127398065858,-6.99358768718989,1.3965362593985e-11,1.82
"SpeciesPro_lot",-5.58938655338877,1.11219727838207,-5.02553518339815,8.07764609328756e-07,2.72
"SpeciesSpi_put",-6.43668441377598,1.69890940530324,-3.7887155098933,0.000178632085914944,3.63
"SpeciesSyl_flo",-2.44770036721171,0.231192286789342,-10.587292513967,7.20333322270541e-23,7.58
"SpeciesUro_cin",-3.31578899726798,0.3568423507221,-9.29202767148633,1.75481607517835e-18,8.65
