"","x","y"
"1",690500,2007000
"2",691500,2007000
"3",692500,2007000
"4",693500,2007000
"5",694500,2007000
"6",695500,2007000
"7",690500,2008000
"8",691500,2008000
"9",692500,2008000
"10",693500,2008000
"11",694500,2008000
"12",695500,2008000
"13",690500,2009000
"14",691500,2009000
"15",692500,2009000
"16",693500,2009000
"17",694500,2009000
"18",695500,2009000
"19",690500,2010000
"20",691500,2010000
"21",692500,2010000
"22",693500,2010000
"23",694500,2010000
"24",695500,2010000
"25",690500,2011000
"26",691500,2011000
"27",692500,2011000
"28",693500,2011000
"29",694500,2011000
"30",695500,2011000
