"","cameras","days","n","RAIgral","OccNaive"
"Nas_nar",24,1873,3,0.16,0.12
"Spi_put",24,1873,3,0.16,0.12
"Bas_ast",24,1873,4,0.21,0.08
"Mep_mac",24,1873,5,0.27,0.12
"Can_fam",24,1873,6,0.32,0.04
"Pro_lot",24,1873,7,0.37,0.12
"Can_lat",24,1873,9,0.48,0.25
"Fel_cat",24,1873,17,0.91,0.08
"Pec_taj",24,1873,21,1.12,0.38
"Lin_ruf",24,1873,26,1.39,0.46
"Con_leu",24,1873,34,1.82,0.5
"Cap_aeg",24,1873,51,2.72,0.5
"Uro_cin",24,1873,68,3.63,0.62
"Odo_vir",24,1873,142,7.58,0.79
"Syl_flo",24,1873,162,8.65,0.67
